id,name,address,postalcode,lat,lng
147,Century Square,2 Tampines Central 5 S(529509),Singapore (529509),1.352389,103.943857
148,Elias Mall,Blk 625 Level 1 & 2 Elias Road S(510625),Singapore (510625),1.377665,103.941441
149,Hougang Mall (#B1-2),90 Hougang Avenue 10 Level B1 - 2 S(538766),Singapore (538766),1.372636,103.893809
150,Hougang Mall (#3-5),90 Hougang Avenue 10 Level 3 - 5 S(538766),Singapore (538766),1.372636,103.893809
151,Pasir Ris West Plaza,735 Pasir Ris Street 72 S(510735),Singapore (510735),1.379879,103.936267
152,Rivervale Plaza,118 Rivervale Plaza S(540118),Singapore (540118),1.385594,103.901983
153,Tampines Central Community Complex,Blk 886A Tampines Street 83 S(521866),Singapore (521866),1.355507,103.934462
154,Tampines One,10 Tampines Central 1 S(529536),Singapore (529536),1.354212,103.945035
155,White Sands,1 Pasir Ris Central Street 3 S(518457),Singapore (518457),1.372417,103.949658
156,Bukit Panjang Intergrated Transport Hub,15 Petir Road S(678270),Singapore (678270),1.378316,103.762459
157,Sembawang Bus Interchange,11A Sembawang Vista S(757527),Singapore (757527),1.447482,103.819414
158,Woodlands Temporary Bus Interchange,3A Woodlands Square S(727735),Singapore (727735),1.437353,103.785964
159,Yishun Temporary Bus Interchange,20A Yishun Central S(768830),Singapore (768830),1.429768,103.837939
160,New Century Cafe,Blk 19 Ghim Moh Road #01-263 S(270019),Singapore (270019),1.311526,103.788347
161,NTUC Foodfare,507 Yishun Avenue 4 S(760507),Singapore (760507),1.41555,103.839696
162,NTUC Foodfare@29A Ghim Moh Link,29A Ghim Moh Link #01-06 S(271029),Singapore (271029),1.308641,103.784204
163,Chang Cheng Mee Wah Foodcourt,27 Woodlands Link #01-01 Chang Cheng HQ S(738732),Singapore (738732),1.452496,103.810849
164,NTUC Foodfare KTPH,90 Yishun Central S(768828),Singapore (768828),1.424448,103.838017
165,Viva Foodcourt,Blk 548 Woodlands Drive 44 #02-34 S(730548),Singapore (730548),1.430686,103.794006
166,Koufu Foodcourt@Fajar,445 Fajar Road #01-548 S(670445),Singapore (670445),1.383662,103.770611
167,Bukit Panjang Hawker Centre,259 Bukit Panjang Ring Road S(671259),Singapore (671259),1.3770581,103.7730258
168,Holland Village Market & Food Centre,1 Lorong Mambong S(277700),Singapore (277700),1.311505,103.795175
169,Yishun Park Hawker Centre,51 Yishun Avenue 11 S(768867),Singapore (768867),1.424921,103.844823
170,Admiralty MRT Station,70 Woodlands Avenue S(738344),Singapore (738344),1.440613,103.800963
171,Kranji MRT Station,960 Woodlands Road S(738702),Singapore (738702),1.4252566,103.7620429
172,Marsiling MRT Station,71 Woodlands Avenue 3 S(739044),Singapore (739044),1.43264,103.77429
173,Woodlands MRT Station,30 Woodlands Avenue 2 S(738343),Singapore (738343),1.436998,103.786504
174,Yew Tee MRT Station,61 Choa Chu Kang Drive S(689715),Singapore (689715),1.3970146,103.7472724
175,888 Plaza,Blk 888 Woodlands Drive 50 S(731888),Singapore (731888),1.437674,103.795137
176,Admiralty Place,Blk 678 Woodlands Avenue 6 S(730678),Singapore (730678),1.4406892,103.8021643
177,Fajar Shopping Centre,445 Fajar Road Level 1 & 2 S(670445),Singapore (670445),1.383662,103.770611
